symbol,href,name,sector_id,listed_in,sector_name,,ACI,ALLSHR,BKTI,JSGBKTI,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI,PSXDIV20,UPP9,data-link
ENGROH,https://dps.psx.com.pk/company/ENGROH,Engro Holdings Limited,0813,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,PSXDIV20,UPP9",INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,https://dps.psx.com.pk/timeseries/eod/ENGROH
PASL,https://dps.psx.com.pk/company/PASL,Pervez Ahmed Consultancy Services Ltd.,0813,ALLSHR,INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PASL
TPLP,https://dps.psx.com.pk/company/TPLP,TPL Properties Limited,0838,"ALLSHR,KMIALLSHR",PROPERTY,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/TPLP
PTC,https://dps.psx.com.pk/company/PTC,Pakistan Telecommunication Company Ltd,0828,"ALLSHR,KSE100,KSE100PR",TECHNOLOGY & COMMUNICATION,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PTC
HGFA,https://dps.psx.com.pk/company/HGFA,HBL Growth Fund,0806,"ALLSHR,KSE100,KSE100PR",CLOSE - END MUTUAL FUND,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/HGFA
TRSM,https://dps.psx.com.pk/company/TRSM,Trust Modaraba,0819,"ALLSHR,KMIALLSHR",MODARABAS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/TRSM
NBP,https://dps.psx.com.pk/company/NBP,National Bank of Pakistan,0807,"ALLSHR,BKTI,JSGBKTI,JSMFI,KSE100,KSE100PR,KSE30",COMMERCIAL BANKS,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/NBP
TELE,https://dps.psx.com.pk/company/TELE,Telecard Limited,0828,"ALLSHR,KMIALLSHR",TECHNOLOGY & COMMUNICATION,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/TELE
SEARL,https://dps.psx.com.pk/company/SEARL,The Searle Company Limited,0823,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",PHARMACEUTICALS,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/SEARL
PMI,https://dps.psx.com.pk/company/PMI,First Prudential Modaraba,0819,"ALLSHR,KMIALLSHR",MODARABAS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PMI
PACE,https://dps.psx.com.pk/company/PACE,Pace (Pakistan) Limited,0838,ALLSHR,PROPERTY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PACE
TBL,https://dps.psx.com.pk/company/TBL,Treet Battery Limited.,0802,ALLSHR,AUTOMOBILE PARTS & ACCESSORIES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/TBL
GAL,https://dps.psx.com.pk/company/GAL,Ghandhara Automobiles Limited,0801,"ALLSHR,KMI30,KMIALLSHR,KSE30,MZNPI",AUTOMOBILE ASSEMBLER,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/GAL
PAKRI,https://dps.psx.com.pk/company/PAKRI,Pakistan Reinsurance Company Limited,0812,ALLSHR,INSURANCE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PAKRI
IMAGE,https://dps.psx.com.pk/company/IMAGE,Image Pakistan Limited,0827,"ALLSHR,KMIALLSHR",SYNTHETIC & RAYON,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/IMAGE
HBL,https://dps.psx.com.pk/company/HBL,Habib Bank Limited,0807,"ALLSHR,BKTI,JSGBKTI,JSMFI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20",COMMERCIAL BANKS,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,https://dps.psx.com.pk/timeseries/eod/HBL
DCL,https://dps.psx.com.pk/company/DCL,Dewan Cement Limited,0804,"ALLSHR,KMIALLSHR",CEMENT,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DCL
MLCF,https://dps.psx.com.pk/company/MLCF,Maple Leaf Cement Factory Limited,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",CEMENT,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/MLCF
PRL,https://dps.psx.com.pk/company/PRL,Pakistan Refinery Limited,0825,"ALLSHR,KMI30,KMIALLSHR",REFINERY,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PRL
