symbol,period,date_predicted,predicted_price,percent_change,absolute_difference,last_price
BNL,6 months,2026-January-21,85.87,-31.5,-39.49,125.36
AKBL,1 day,2025-July-26,53.98,-23.68,-16.75,70.73
AKBL,1 week,2025-August-01,55.94,-20.9,-14.79,70.73
AKBL,1 month,2025-August-24,54.37,-23.13,-16.36,70.73
AKBL,6 months,2026-January-21,73.84,4.4,3.11,70.73
ENGROH,1 day,2025-July-26,191.97,-11.75,-25.56,217.53
ENGROH,1 week,2025-August-01,197.01,-9.44,-20.52,217.53
ENGROH,1 month,2025-August-24,188.51,-13.34,-29.02,217.53
ENGROH,6 months,2026-January-21,228.62,5.1,11.09,217.53
PASL,1 day,2025-July-26,2.28,-20.11,-0.58,2.86
PASL,1 week,2025-August-01,2.23,-22.19,-0.63,2.86
PASL,1 month,2025-August-24,2.4,-16.01,-0.46,2.86
PASL,6 months,2026-January-21,2.54,-11.08,-0.32,2.86
TPLP,1 day,2025-July-26,8.43,-11.79,-1.13,9.56
TPLP,1 week,2025-August-01,9.7,1.45,0.14,9.56
TPLP,1 month,2025-August-24,8.72,-8.74,-0.84,9.56
TPLP,6 months,2026-January-21,13.71,43.42,4.15,9.56
PTC,1 day,2025-July-26,25.88,8.4,2.01,23.87
PTC,1 week,2025-August-01,25.46,6.67,1.59,23.87
PTC,1 month,2025-August-24,26.14,9.51,2.27,23.87
PTC,6 months,2026-January-21,33.56,40.6,9.69,23.87
HGFA,1 day,2025-July-26,13.76,-2.49,-0.35,14.11
HGFA,1 week,2025-August-01,12.03,-14.71,-2.08,14.11
HGFA,1 month,2025-August-24,14.08,-0.24,-0.03,14.11
HGFA,6 months,2026-January-21,14.85,5.23,0.74,14.11
TRSM,1 day,2025-July-26,6.58,-57.85,-9.03,15.61
TRSM,1 week,2025-August-01,8.55,-45.25,-7.06,15.61
TRSM,1 month,2025-August-24,6.33,-59.46,-9.28,15.61
TRSM,6 months,2026-January-21,10.99,-29.57,-4.62,15.61
NBP,1 day,2025-July-26,105.81,-15.0,-18.68,124.49
NBP,1 week,2025-August-01,109.61,-11.95,-14.88,124.49
NBP,1 month,2025-August-24,109.71,-11.87,-14.78,124.49
NBP,6 months,2026-January-21,137.19,10.2,12.7,124.49
TELE,1 day,2025-July-26,6.75,-10.18,-0.76,7.51
TELE,1 week,2025-August-01,7.94,5.71,0.43,7.51
TELE,1 month,2025-August-24,6.63,-11.71,-0.88,7.51
TELE,6 months,2026-January-21,8.67,15.46,1.16,7.51
SEARL,1 day,2025-July-26,84.88,-9.32,-8.72,93.6
SEARL,1 week,2025-August-01,103.13,10.18,9.53,93.6
SEARL,1 month,2025-August-24,92.71,-0.95,-0.89,93.6
SEARL,6 months,2026-January-21,131.98,41.0,38.38,93.6
PMI,1 day,2025-July-26,3.62,-22.99,-1.08,4.7
PMI,1 week,2025-August-01,3.69,-21.58,-1.01,4.7
PMI,1 month,2025-August-24,3.69,-21.57,-1.01,4.7
PMI,6 months,2026-January-21,3.39,-27.86,-1.31,4.7
PACE,1 day,2025-July-26,6.55,11.1,0.65,5.9
PACE,1 week,2025-August-01,6.95,17.87,1.05,5.9
PACE,1 month,2025-August-24,7.12,20.63,1.22,5.9
PACE,6 months,2026-January-21,7.92,34.28,2.02,5.9
TBL,1 day,2025-July-26,11.41,-4.98,-0.6,12.01
TBL,1 week,2025-August-01,14.45,20.32,2.44,12.01
TBL,1 month,2025-August-24,13.42,11.7,1.41,12.01
TBL,6 months,2026-January-21,42.99,257.96,30.98,12.01
GAL,1 day,2025-July-26,542.52,0.11,0.6,541.92
GAL,1 week,2025-August-01,545.19,0.6,3.27,541.92
GAL,1 month,2025-August-24,561.62,3.64,19.7,541.92
GAL,6 months,2026-January-21,681.41,25.74,139.49,541.92
PAKRI,1 day,2025-July-26,11.07,-27.79,-4.26,15.33
PAKRI,1 week,2025-August-01,14.8,-3.44,-0.53,15.33
PAKRI,1 month,2025-August-24,12.57,-18.0,-2.76,15.33
PAKRI,6 months,2026-January-21,19.09,24.53,3.76,15.33
IMAGE,1 day,2025-July-26,27.99,-4.97,-1.46,29.45
IMAGE,1 week,2025-August-01,28.92,-1.79,-0.53,29.45
IMAGE,1 month,2025-August-24,29.92,1.61,0.47,29.45
IMAGE,6 months,2026-January-21,35.79,21.53,6.34,29.45
HBL,1 day,2025-July-26,194.68,-14.05,-31.81,226.49
HBL,1 week,2025-August-01,191.82,-15.31,-34.67,226.49
HBL,1 month,2025-August-24,195.19,-13.82,-31.3,226.49
HBL,6 months,2026-January-21,226.82,0.14,0.33,226.49
DCL,1 day,2025-July-26,12.35,-4.34,-0.56,12.91
DCL,1 week,2025-August-01,11.75,-8.96,-1.16,12.91
DCL,1 month,2025-August-24,12.59,-2.45,-0.32,12.91
DCL,6 months,2026-January-21,14.22,10.17,1.31,12.91
MLCF,1 day,2025-July-26,80.43,-1.36,-1.11,81.54
MLCF,1 week,2025-August-01,82.46,1.13,0.92,81.54
MLCF,1 month,2025-August-24,82.56,1.25,1.02,81.54
MLCF,6 months,2026-January-21,102.02,25.12,20.48,81.54
PRL,1 day,2025-July-26,34.11,8.32,2.62,31.49
PRL,1 week,2025-August-01,33.12,5.18,1.63,31.49
PRL,1 month,2025-August-24,33.97,7.87,2.48,31.49
PRL,6 months,2026-January-21,43.64,38.59,12.15,31.49
